name,armorKind,origin,materialClass,priceSp,weightLb,deflect,armorRating,materialBasePriceSp,materialBaseWeightLb,materialBaseDeflect,materialBaseAR,impliedPricePartsRatio,impliedWeightPartsRatio,deflectOffset,armorRatingOffset,auditStatus,auditNote
"Gorget, Reinforced",sectional,source-catalog,Reinforced,15.0,8,2,9,60,3,2,9,0.25,2.6667,0,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Gorget, Metal",sectional,source-catalog,Plate,30,12,3,18,120,5,4,18,0.25,2.4,-1,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Rerebraces, Metal",sectional,source-catalog,Plate,150,10,4,18,120,5,4,18,1.25,2.0,0,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Vambraces, Reinforced",sectional,source-catalog,Reinforced,25.0,4,2,9,60,3,2,9,0.4167,1.3333,0,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Vambraces, Metal",sectional,source-catalog,Plate,150,6,4,18,120,5,4,18,1.25,1.2,0,0,corrected,AR 9 -> 18; Plate material base is AR 18 and AR 9 duplicated Reinforced protection.
"Gauntlets, Reinforced",sectional,source-catalog,Reinforced,30,3,0,6,60,3,2,9,0.5,1.0,-2,-3,reviewed,
"Gauntlets, Mail",sectional,source-catalog,Mail,40,4,2,15,80,4,3,15,0.5,1.0,-1,0,corrected,AR 16 -> 15; normalized to the Mail material ladder.
"Gauntlets, Metal",sectional,source-catalog,Plate,100,5,3,18,120,5,4,18,0.8333,1.0,-1,0,reviewed,
"Sleeve, Reinforced × 1",sectional,source-catalog,Reinforced,60,4,2,9,60,3,2,9,1.0,1.3333,0,0,reviewed,
"Sleeve, Metal × 1",sectional,source-catalog,Plate,200,6,3,15,120,5,4,18,1.6667,1.2,-1,-3,reviewed,
"Pauldron, Reinforced × 1",sectional,source-catalog,Reinforced,25.0,2,3,9,60,3,2,9,0.4167,0.6667,1,0,reviewed,
"Pauldron, Metal × 1",sectional,source-catalog,Plate,60,4,5,18,120,5,4,18,0.5,0.8,1,0,reviewed,
"Manica, Mail × 1",sectional,source-catalog,Mail,60,5,4,15,80,4,3,15,0.75,1.25,1,0,reviewed,
"Skirt, Reinforced",sectional,source-catalog,Reinforced,100,10,1,9,60,3,2,9,1.6667,3.3333,-1,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Skirt, Metal",sectional,source-catalog,Plate,150,15,3,18,120,5,4,18,1.25,3.0,-1,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Cuisses, Metal",sectional,source-catalog,Plate,80,6,3,18,120,5,4,18,0.6667,1.2,-1,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Leggings, Boiled",sectional,source-catalog,Boiled,80,10,1,6,40,2.5,1,6,2.0,4.0,0,0,corrected,AR 10 -> 6; normalized to Boiled material base and restores Boiled < Reinforced progression.
"Leggings, Reinforced",sectional,source-catalog,Reinforced,100,12,2,9,60,3,2,9,1.6667,4.0,0,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Leggings, Metal",sectional,source-catalog,Plate,300,20,3,15,120,5,4,18,2.5,4.0,-1,-3,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Greaves, Reinforced",sectional,source-catalog,Reinforced,60,6,0,9,60,3,2,9,1.0,2.0,-2,0,ratio-review,Price and weight imply materially different Parts Ratios; defer final correction until component-ratio model is finalized.
"Greaves, Metal",sectional,source-catalog,Plate,300,10,2,15,120,5,4,18,2.5,2.0,-2,-3,reviewed,
